Id,Label
tt0014140,How Troy Was Collared
tt0014304,Napoleon Not So Great
tt0015830,Foam Sweet Foam
tt0021025,King of Jazz
tt0023353,The Pride of the Legion
tt0035905,Frontier Fury
tt0036497,Victory Through Air Power
tt0036842,Frontier Outlaws
tt0038166,The Three Caballeros
tt0038606,Holiday in Mexico
tt0038718,Make Mine Music
tt0038969,Song of the South
tt0039404,Fun & Fancy Free
tt0040580,Melody Time
tt0040910,Two Guys from Texas
tt0041094,The Adventures of Ichabod and Mr. Toad
tt0041671,My Dream Is Yours
tt0041890,So Dear to My Heart
tt0042189,Alice in Wonderland
tt0042332,Cinderella
tt0043274,Alice in Wonderland
tt0045670,Dangerous When Wet
tt0046183,Peter Pan
tt0047834,Animal Farm
tt0048280,Lady and the Tramp
tt0049367,Invitation to the Dance
tt0052527,1001 Arabian Nights
tt0053285,Sleeping Beauty
tt0055254,101 Dalmatians
tt0056060,Heaven and Earth Magic
tt0056294,Number 13
tt0056700,The Wonderful World of the Brothers Grimm
tt0057093,Gay Purr-ee
tt0057546,The Sword in the Stone
tt0058230,The Incredible Mr. Limpet
tt0059422,The Man from Button Willow
tt0060283,The Daydreamer
tt0060661,The Man Called Flintstone
tt0061852,The Jungle Book
tt0061931,Mad Monster Party?
tt0062466,The Wacky World of Mother Goose
tt0063823,Yellow Submarine
tt0064107,A Boy Named Charlie Brown
tt0064806,The Phantom Tollbooth
tt0065421,The Aristocats
tt0066328,Santa and the Three Bears
tt0066817,Bedknobs and Broomsticks
tt0067179,The World of Hans Christian Andersen
tt0067280,Journey Back to Oz
tt0067749,Shinbone Alley
tt0068612,Fritz the Cat
tt0069289,Snoopy Come Home
tt0070016,Charlotte's Web
tt0070165,Heavy Traffic
tt0070608,Robin Hood
tt0071361,Coonskin
tt0071913,The Nine Lives of Fritz the Cat
tt0072882,Dirty Duck
tt0074657,Hugo the Hippo
tt0074705,Jack and the Beanstalk
tt0076363,The Many Adventures of Winnie the Pooh
tt0076416,The Mouse and His Child
tt0076538,Pete's Dragon
tt0076591,"Race for Your Life, Charlie Brown"
tt0076593,Raggedy Ann & Andy: A Musical Adventure
tt0076618,The Rescuers
tt0076929,Wizards
tt0077869,The Lord of the Rings
tt0078480,Watership Down
tt0078495,Metamorphoses
tt0078780,Animalympics
tt0078915,The Bugs Bunny/Road-Runner Movie
tt0080461,"Bon Voyage, Charlie Brown (and Don't Come Back!!)"
tt0082009,American Pop
tt0082406,The Fox and the Hound
tt0082509,Heavy Metal
tt0082679,"The Looney, Looney, Looney Bugs Bunny Movie"
tt0083701,Bugs Bunny's 3rd Movie: 1001 Rabbit Tales
tt0084060,Heidi's Song
tt0084070,Hey Good Lookin'
tt0084237,The Last Unicorn
tt0084458,The Wizard of Oz
tt0084509,The Plague Dogs
tt0084649,The Secret of NIMH
tt0085390,Daffy Duck's Movie: Fantastic Island
tt0085394,Lucky Luke: The Daltons on the Run
tt0085542,Fire and Ice
tt0086489,Twice Upon a Time
tt0086857,The Adventures of Pinocchio
tt0087544,Nausicaä of the Valley of the Wind
tt0087925,I Go Pogo
tt0088678,The Adventures of Mark Twain
tt0088814,The Black Cauldron
tt0088885,The Care Bears Movie
tt0088955,The Cosmic Eye
tt0089272,Here Come the Littles
tt0089877,Rainbow Brite and the Star Stealer
tt0089984,He-Man and She-Ra: The Secret of the Sword
tt0090065,Starchaser: The Legend of Orin
tt0090633,An American Tail
tt0090799,Care Bears Movie II: A New Generation
tt0091123,GoBots: Battle of the Rock Lords
tt0091149,The Great Mouse Detective
tt0091584,My Little Pony: The Movie
tt0091862,Robotech: The Movie
tt0092106,The Transformers: The Movie
tt0092695,The Brave Little Toaster
tt0092752,The Chipmunk Adventure
tt0093743,Pinocchio and the Emperor of the Night
tt0094939,Daffy Duck's Quackbusters
tt0095489,The Land Before Time
tt0095776,Oliver & Company
tt0095894,Pound Puppies and the Legend of Big Paw
tt0096438,Who Framed Roger Rabbit
tt0096787,All Dogs Go to Heaven
tt0097757,The Little Mermaid
tt0099472,DuckTales the Movie: Treasure of the Lost Lamp
tt0099524,Evil Toons
